levels	trsOFdepth	cumdepth	cumdepthdiff	cumperc
1	56	56	1592	100
2	371	427	1536	96.48241206
3	368	795	1165	73.17839196
4	383	1178	797	50.06281407
5	225	1403	414	26.00502513
6	115	1518	189	11.8718593
7	39	1557	74	4.648241206
8	19	1576	35	2.198492462
9	5	1581	16	1.005025126
10	6	1587	11	0.690954774
11	3	1590	5	0.314070352
12	2	1592	2	0.125628141
13	0	1592	0	0.00
14	0	1592	0	0.00
15	0	1592	0	0.00
16	0	1592	0	0.00
17	0	1592	0	0.00
18	0	1592	0	0.00
19	0	1592	0	0.00
20	0	1592	0	0.00
21	0	1592	0	0.00
22	0	1592	0	0.00
23	0	1592	0	0.00
24	0	1592	0	0.00
25	0	1592	0	0.00
26	0	1592	0	0.00
